"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2217","@smoke @critical login redirects to dashboard","mobile-chrome","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","17137","@regression empty email → validation error","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","18493","@regression invalid password → error message","firefox","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","17827","@regression [AUTH-DD-004] login email=""""","chromium","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","235","@api @smoke GET /users returns array","firefox","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","18612","@regression empty email → validation error","mobile-chrome","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","23266","@regression empty email → validation error","webkit","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","217","@api @smoke GET /users returns array","mobile-chrome","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","265","@api GET /users/:id returns specific user","chromium","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","11001","@regression logout clears session","webkit","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","2512","@smoke login page loads","webkit","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","20641","@regression invalid password → error message","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","19068","@regression empty email → validation error","firefox","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","17766","@regression empty password → validation error","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","19733","@regression [AUTH-DD-003] login email=""notanemail""","firefox","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","375","@api GET /users/:id returns specific user","mobile-chrome","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","295","@api @smoke GET /users returns array","smoke","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","2559","@regression [AUTH-DD-001] login email=""user@nhathuoc-mc.vn""","mobile-chrome","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","6889","@regression valid credentials → dashboard","mobile-chrome","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","21592","@regression [AUTH-DD-002] login email=""wrong@example.com""","webkit","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
